Hubs		Lower bound		Best objective function
[0,1,2,3]		23972.783584938625		24115.26446995737
[0,1,2,4]		23427.693224831808		23578.07833769783
[0,1,2,5]		22715.5805814798		22945.099383640125
[0,1,2,6]		24264.5330343569		22945.099383640125
[0,1,2,7]		23807.999596481543		22945.099383640125
[0,1,2,8]		22360.3593966432		22583.775815732504
[0,1,2,9]		21704.6194238692		21923.57732889911
[0,1,3,4]		24228.153962635053		21923.57732889911
[0,1,3,5]		23031.166569717258		21923.57732889911
[0,1,3,6]		24942.956892145365		21923.57732889911
[0,1,3,7]		24574.84651302627		21923.57732889911
[0,1,3,8]		22889.179430296852		21923.57732889911
[0,1,3,9]		22164.361138354943		21923.57732889911
[0,1,4,5]		23235.213882445176		21923.57732889911
[0,1,4,6]		27342.660047209913		21923.57732889911
[0,1,4,7]		25516.37829626813		21923.57732889911
[0,1,4,8]		24380.37574170194		21923.57732889911
[0,1,4,9]		23606.400208222905		21923.57732889911
[0,1,5,6]		24482.189489739765		21923.57732889911
[0,1,5,7]		22932.87787899516		21923.57732889911
[0,1,5,8]		23645.131682277577		21923.57732889911
[0,1,5,9]		23401.52536042717		21923.57732889911
[0,1,6,7]		26069.04162674184		21923.57732889911
[0,1,6,8]		25810.40945574847		21923.57732889911
[0,1,6,9]		24781.70677184915		21923.57732889911
[0,1,7,8]		23509.005661785995		21923.57732889911
[0,1,7,9]		22639.73241336967		21923.57732889911
[0,1,8,9]		25150.38192630224		21923.57732889911
[0,2,3,4]		24887.603052665218		21923.57732889911
[0,2,3,5]		27922.119716639325		21923.57732889911
[0,2,3,6]		24085.922142778883		21923.57732889911
[0,2,3,7]		27668.100106174377		21923.57732889911
[0,2,3,8]		27416.52164872249		21923.57732889911
[0,2,3,9]		26749.68449188901		21923.57732889911
[0,2,4,5]		23828.60155725664		21923.57732889911
[0,2,4,6]		23692.658439219507		21923.57732889911
[0,2,4,7]		24619.432493980123		21923.57732889911
[0,2,4,8]		23208.891887080226		21923.57732889911
[0,2,4,9]		22678.936261584586		21923.57732889911
[0,2,5,6]		22950.940278233997		21923.57732889911
[0,2,5,7]		26250.43915255415		21923.57732889911
[0,2,5,8]		27449.145920040588		21923.57732889911
[0,2,5,9]		27272.428060961087		21923.57732889911
[0,2,6,7]		23968.544168515622		21923.57732889911
[0,2,6,8]		22586.146610660024		21923.57732889911
[0,2,6,9]		21786.305404691368		21923.57732889911
[0,2,7,8]		25741.570315784662		21923.57732889911
[0,2,7,9]		25151.75544643649		21923.57732889911
[0,2,8,9]		27355.78480080473		21923.57732889911
[0,3,4,5]		24187.40699677667		21923.57732889911
[0,3,4,6]		24650.630819531725		21923.57732889911
[0,3,4,7]		25907.456375019385		21923.57732889911
[0,3,4,8]		24152.028830088162		21923.57732889911
[0,3,4,9]		23468.26852969728		21923.57732889911
[0,3,5,6]		23375.04709246324		21923.57732889911
[0,3,5,7]		26890.28230175918		21923.57732889911
[0,3,5,8]		28117.35804260663		21923.57732889911
[0,3,5,9]		27746.362493291774		21923.57732889911
[0,3,6,7]		24891.701592538575		21923.57732889911
[0,3,6,8]		23264.510819940147		21923.57732889911
[0,3,6,9]		22365.93806011871		21923.57732889911
[0,3,7,8]		26821.273549043843		21923.57732889911
[0,3,7,9]		26143.869355714338		21923.57732889911
[0,3,8,9]		28355.42939862718		21923.57732889911
[0,4,5,6]		23684.54962138774		21923.57732889911
[0,4,5,7]		24313.100630941983		21923.57732889911
[0,4,5,8]		25103.24594646746		21923.57732889911
[0,4,5,9]		24897.35225312741		21923.57732889911
[0,4,6,7]		25958.859995219358		21923.57732889911
[0,4,6,8]		24865.716016998278		21923.57732889911
[0,4,6,9]		23915.514095972863		21923.57732889911
[0,4,7,8]		24878.945756032026		21923.57732889911
[0,4,7,9]		24038.856594415993		21923.57732889911
[0,4,8,9]		26423.552423932742		21923.57732889911
[0,5,6,7]		23296.763243795707		21923.57732889911
[0,5,6,8]		24088.324910117215		21923.57732889911
[0,5,6,9]		23657.233282858568		21923.57732889911
[0,5,7,8]		26445.12556652496		21923.57732889911
[0,5,7,9]		26226.137885360826		21923.57732889911
[0,5,8,9]		33538.58627516372		21923.57732889911
[0,6,7,8]		23904.42922583742		21923.57732889911
[0,6,7,9]		22861.361099533922		21923.57732889911
[0,6,8,9]		25636.02125186711		21923.57732889911
[0,7,8,9]		27133.994534016798		21923.57732889911
[1,2,3,4]		23963.69404758552		21923.57732889911
[1,2,3,5]		22606.671504342812		21923.57732889911
[1,2,3,6]		24610.78077397296		21923.57732889911
[1,2,3,7]		24644.292324117894		21923.57732889911
[1,2,3,8]		22348.118688080718		21923.57732889911
[1,2,3,9]		21501.623922043393		21643.078612116027
[1,2,4,5]		22137.159052694755		21643.078612116027
[1,2,4,6]		24279.594168368014		21643.078612116027
[1,2,4,7]		23919.768452008466		21643.078612116027
[1,2,4,8]		21764.26989727143		21643.078612116027
[1,2,4,9]		21054.780058929624		21199.788439588796
[1,2,5,6]		22831.58001568912		21199.788439588796
[1,2,5,7]		22456.689027440225		21199.788439588796
[1,2,5,8]		22012.491733284907		21199.788439588796
[1,2,5,9]		21929.534842443172		21199.788439588796
[1,2,6,7]		24561.72669296832		21199.788439588796
[1,2,6,8]		22644.87214129258		21199.788439588796
[1,2,6,9]		21648.836678604825		21199.788439588796
[1,2,7,8]		22194.864022278976		21199.788439588796
[1,2,7,9]		21425.392963773476		21199.788439588796
[1,2,8,9]		21946.377666912667		21199.788439588796
[1,3,4,5]		22484.697291634773		21199.788439588796
[1,3,4,6]		25854.17598212326		21199.788439588796
[1,3,4,7]		25744.82020670523		21199.788439588796
[1,3,4,8]		22849.82604477904		21199.788439588796
[1,3,4,9]		21910.01348724973		21199.788439588796
[1,3,5,6]		23324.570874270845		21199.788439588796
[1,3,5,7]		23054.021890701835		21199.788439588796
[1,3,5,8]		22414.897998713368		21199.788439588796
[1,3,5,9]		22140.74127118229		21199.788439588796
[1,3,6,7]		26070.25046507088		21199.788439588796
[1,3,6,8]		23551.32118507939		21199.788439588796
[1,3,6,9]		22449.156453525087		21199.788439588796
[1,3,7,8]		23385.74337467442		21199.788439588796
[1,3,7,9]		22452.165348723523		21199.788439588796
[1,3,8,9]		22798.729931556063		21199.788439588796
[1,4,5,6]		23855.48489627341		21199.788439588796
[1,4,5,7]		22692.094237730555		21199.788439588796
[1,4,5,8]		22799.971825479464		21199.788439588796
[1,4,5,9]		22691.040549906535		21199.788439588796
[1,4,6,7]		29706.812149524885		21199.788439588796
[1,4,6,8]		27588.965852232734		21199.788439588796
[1,4,6,9]		25337.514457559762		21199.788439588796
[1,4,7,8]		24432.255177962677		21199.788439588796
[1,4,7,9]		23082.936080263986		21199.788439588796
[1,4,8,9]		25383.40935486936		21199.788439588796
[1,5,6,7]		23280.958989923267		21199.788439588796
[1,5,6,8]		24107.205158105386		21199.788439588796
[1,5,6,9]		23693.431861048222		21199.788439588796
