Hubs		Lower bound		Best objective function
[0,1,2,3]		23241.502171407912		24115.26446995737
[0,1,2,4]		22749.029133435703		23578.07833769783
[0,1,2,5]		21930.16210487068		22945.099383640125
[0,1,2,6]		23524.408273892008		22945.099383640125
[0,1,2,7]		23061.43261305129		22945.099383640125
[0,1,2,8]		21672.125637485984		22583.775815732504
[0,1,2,9]		21011.64402355111		21923.57732889911
[0,1,3,4]		23477.280375018883		21923.57732889911
[0,1,3,5]		22338.538390912883		21923.57732889911
[0,1,3,6]		24196.19964773241		21923.57732889911
[0,1,3,7]		23759.097273408108		21923.57732889911
[0,1,3,8]		22258.353452311065		21923.57732889911
[0,1,3,9]		21516.290581111833		21923.57732889911
[0,1,4,5]		22632.58068817057		21923.57732889911
[0,1,4,6]		26693.721736721596		21923.57732889911
[0,1,4,7]		24735.792717796056		21923.57732889911
[0,1,4,8]		23927.518913616204		21923.57732889911
[0,1,4,9]		23046.600918847624		21923.57732889911
[0,1,5,6]		23814.004368541475		21923.57732889911
[0,1,5,7]		22215.748535517512		21923.57732889911
[0,1,5,8]		22980.382217456125		21923.57732889911
[0,1,5,9]		22735.972818321163		21923.57732889911
[0,1,6,7]		25259.995931855745		21923.57732889911
[0,1,6,8]		25127.39283108322		21923.57732889911
[0,1,6,9]		24149.120543613404		21923.57732889911
[0,1,7,8]		22861.036577085204		21923.57732889911
[0,1,7,9]		21982.6709524404		21923.57732889911
[0,1,8,9]		24383.75146070946		21923.57732889911
[0,2,3,4]		24200.478230779292		21923.57732889911
[0,2,3,5]		26986.81958040827		21923.57732889911
[0,2,3,6]		23434.002104186042		21923.57732889911
[0,2,3,7]		26843.7041645872		21923.57732889911
[0,2,3,8]		26570.875698793294		21923.57732889911
[0,2,3,9]		25906.360638722796		21923.57732889911
[0,2,4,5]		23137.841108667857		21923.57732889911
[0,2,4,6]		23045.11397408389		21923.57732889911
[0,2,4,7]		23949.606341775845		21923.57732889911
[0,2,4,8]		22649.695787874654		21923.57732889911
[0,2,4,9]		22073.0184049264		21923.57732889911
[0,2,5,6]		22220.59326811627		21923.57732889911
[0,2,5,7]		25424.678249801837		21923.57732889911
[0,2,5,8]		26508.30192354828		21923.57732889911
[0,2,5,9]		26295.288632990083		21923.57732889911
[0,2,6,7]		23269.40598390918		21923.57732889911
[0,2,6,8]		21922.6255441649		21923.57732889911
[0,2,6,9]		21193.745451822146		21923.57732889911
[0,2,7,8]		24998.00998427497		21923.57732889911
[0,2,7,9]		24384.068695368234		21923.57732889911
[0,2,8,9]		26424.222704297397		21923.57732889911
[0,3,4,5]		23447.528391859516		21923.57732889911
[0,3,4,6]		23897.413783880584		21923.57732889911
[0,3,4,7]		25125.219313256544		21923.57732889911
[0,3,4,8]		23524.091251011178		21923.57732889911
[0,3,4,9]		22896.656929320507		21923.57732889911
[0,3,5,6]		22706.492062485006		21923.57732889911
[0,3,5,7]		26004.651391713873		21923.57732889911
[0,3,5,8]		27168.379604508755		21923.57732889911
[0,3,5,9]		26830.272642541593		21923.57732889911
[0,3,6,7]		24091.11921247951		21923.57732889911
[0,3,6,8]		22627.517455216217		21923.57732889911
[0,3,6,9]		21785.205994756583		21923.57732889911
[0,3,7,8]		26003.716052082254		21923.57732889911
[0,3,7,9]		25401.921121414707		21923.57732889911
[0,3,8,9]		27470.371460646882		21923.57732889911
[0,4,5,6]		23084.444479511127		21923.57732889911
[0,4,5,7]		23598.53934720467		21923.57732889911
[0,4,5,8]		24456.160216096046		21923.57732889911
[0,4,5,9]		24212.00692338939		21923.57732889911
[0,4,6,7]		25146.57417702489		21923.57732889911
[0,4,6,8]		24380.59303628979		21923.57732889911
[0,4,6,9]		23399.426452260806		21923.57732889911
[0,4,7,8]		24256.13890556888		21923.57732889911
[0,4,7,9]		23481.004792107586		21923.57732889911
[0,4,8,9]		25844.703149765588		21923.57732889911
[0,5,6,7]		22574.35025745677		21923.57732889911
[0,5,6,8]		23418.272149663397		21923.57732889911
[0,5,6,9]		23064.123785473126		21923.57732889911
[0,5,7,8]		25592.28185976145		21923.57732889911
[0,5,7,9]		25355.316383941263		21923.57732889911
[0,5,8,9]		32300.237283460763		21923.57732889911
[0,6,7,8]		23220.848630357486		21923.57732889911
[0,6,7,9]		22242.23441645228		21923.57732889911
[0,6,8,9]		24938.5233408821		21923.57732889911
[0,7,8,9]		26366.800544522168		21923.57732889911
[1,2,3,4]		23269.105102537695		21923.57732889911
[1,2,3,5]		21869.507306005475		21923.57732889911
[1,2,3,6]		23941.2789765384		21923.57732889911
[1,2,3,7]		23827.40784676695		21923.57732889911
