Hubs				Lower bound1		Lower bound2		Current_obj_fun		Best_obj_fun
[0,1,2]        		8999345222.803		-----          		9538500986.262		9538500986.262
[0,1,3]        		8947318214.707		-----          		9481950752.987		9481950752.987
[0,1,5]        		9598403870.937		-----          		NaN				9481950752.987
[0,1,7]        		8511803756.307		-----          		9145688484.977		9145688484.977
[0,1,8]        		9445661990.713		-----          		NaN				9145688484.977
[0,1,9]        		9291316544.144		-----          		NaN				9145688484.977
[0,1,11]       		8491260413.502		-----          		9076060742.490		9076060742.490
[0,1,12]       		9236581098.651		-----          		NaN				9076060742.490
[0,1,13]       		10180571306.719		-----          		NaN				9076060742.490
[0,1,15]       		9716632932.895		-----          		NaN				9076060742.490
[0,1,16]       		9841729970.927		-----          		NaN				9076060742.490
[0,1,17]       		10047611527.270		-----          		NaN				9076060742.490
[0,1,19]       		9778415308.216		-----          		NaN				9076060742.490
[0,1,22]       		9084677342.858		-----          		NaN				9076060742.490
[0,1,23]       		10211670171.124		-----          		NaN				9076060742.490
[0,1,24]       		10082270427.484		-----          		NaN				9076060742.490
[0,2,3]        		10339595304.309		-----          		NaN				9076060742.490
[0,2,4]        		10851092510.319		-----          		NaN				9076060742.490
[0,2,5]        		10890732826.068		-----          		NaN				9076060742.490
[0,2,6]        		10661197152.417		-----          		NaN				9076060742.490
[0,2,7]        		10095142751.352		-----          		NaN				9076060742.490
[0,2,8]        		10816606897.548		-----          		NaN				9076060742.490
[0,2,9]        		11170961777.309		-----          		NaN				9076060742.490
[0,2,10]       		10227900692.532		-----          		NaN				9076060742.490
[0,2,11]       		10148254936.369		-----          		NaN				9076060742.490
[0,2,12]       		10970854037.322		-----          		NaN				9076060742.490
[0,2,13]       		12111334784.775		-----          		NaN				9076060742.490
[0,2,14]       		10652482149.314		-----          		NaN				9076060742.490
[0,2,15]       		11664649731.386		-----          		NaN				9076060742.490
[0,2,16]       		11474586589.957		-----          		NaN				9076060742.490
[0,2,17]       		11293944101.169		-----          		NaN				9076060742.490
[0,2,18]       		10119457675.803		-----          		NaN				9076060742.490
[0,2,19]       		11061561496.860		-----          		NaN				9076060742.490
[0,2,20]       		10367900224.110		-----          		NaN				9076060742.490
[0,2,21]       		10300047320.712		-----          		NaN				9076060742.490
[0,2,22]       		10948014234.282		-----          		NaN				9076060742.490
[0,2,23]       		12100346793.706		-----          		NaN				9076060742.490
[0,2,24]       		11231356308.756		-----          		NaN				9076060742.490
[0,3,4]        		11036199259.754		-----          		NaN				9076060742.490
[0,3,5]        		10388167134.540		-----          		NaN				9076060742.490
[0,3,6]        		10749908751.951		-----          		NaN				9076060742.490
[0,3,7]        		10240500483.135		-----          		NaN				9076060742.490
[0,3,8]        		10658877878.219		-----          		NaN				9076060742.490
[0,3,9]        		10990497838.928		-----          		NaN				9076060742.490
[0,3,10]       		10787695448.438		-----          		NaN				9076060742.490
[0,3,11]       		10093250400.773		-----          		NaN				9076060742.490
[0,3,12]       		11236601775.672		-----          		NaN				9076060742.490
[0,3,13]       		11460083471.301		-----          		NaN				9076060742.490
[0,3,14]       		11224532313.119		-----          		NaN				9076060742.490
[0,3,15]       		11312802209.590		-----          		NaN				9076060742.490
[0,3,16]       		9888758123.126		-----          		NaN				9076060742.490
[0,3,17]       		9836549991.008		-----          		NaN				9076060742.490
[0,3,18]       		10176259702.070		-----          		NaN				9076060742.490
[0,3,19]       		10219771187.091		-----          		NaN				9076060742.490
[0,3,20]       		11206833878.517		-----          		NaN				9076060742.490
[0,3,21]       		10162009337.188		-----          		NaN				9076060742.490
[0,3,22]       		10665813787.361		-----          		NaN				9076060742.490
[0,3,23]       		11451358989.134		-----          		NaN				9076060742.490
[0,3,24]       		9994506107.633		-----          		NaN				9076060742.490
[0,4,5]        		10997634418.236		-----          		NaN				9076060742.490
[0,4,6]        		10563121869.541		-----          		NaN				9076060742.490
[0,4,7]        		9966721519.951		-----          		NaN				9076060742.490
[0,4,8]        		11209181429.500		-----          		NaN				9076060742.490
[0,4,9]        		10853978338.204		-----          		NaN				9076060742.490
[0,4,10]       		10409477854.577		-----          		NaN				9076060742.490
[0,4,11]       		9869172367.118		-----          		NaN				9076060742.490
[0,4,12]       		11062278485.366		-----          		NaN				9076060742.490
[0,4,13]       		11556252789.245		-----          		NaN				9076060742.490
[0,4,14]       		10856356934.603		-----          		NaN				9076060742.490
[0,4,15]       		11269286169.785		-----          		NaN				9076060742.490
[0,4,16]       		10433041924.196		-----          		NaN				9076060742.490
[0,4,17]       		10377638860.579		-----          		NaN				9076060742.490
[0,4,18]       		9916578741.446		-----          		NaN				9076060742.490
[0,4,19]       		10772113006.799		-----          		NaN				9076060742.490
[0,4,20]       		10749628707.850		-----          		NaN				9076060742.490
[0,4,21]       		9991043310.702		-----          		NaN				9076060742.490
[0,4,22]       		10533829110.403		-----          		NaN				9076060742.490
[0,4,23]       		11551136983.435		-----          		NaN				9076060742.490
[0,4,24]       		10532948758.417		-----          		NaN				9076060742.490
[0,5,6]        		10000018766.369		-----          		NaN				9076060742.490
[0,5,7]        		9420682523.733		-----          		NaN				9076060742.490
[0,5,8]        		11129163567.185		-----          		NaN				9076060742.490
[0,5,9]        		10365013448.457		-----          		NaN				9076060742.490
[0,5,10]       		9813803633.451		-----          		NaN				9076060742.490
[0,5,11]       		9380910691.825		-----          		NaN				9076060742.490
[0,5,12]       		10467617654.414		-----          		NaN				9076060742.490
[0,5,13]       		11216488253.856		-----          		NaN				9076060742.490
[0,5,14]       		10265136808.303		-----          		NaN				9076060742.490
[0,5,15]       		10809229255.030		-----          		NaN				9076060742.490
[0,5,16]       		10626948164.847		-----          		NaN				9076060742.490
[0,5,17]       		10608990207.248		-----          		NaN				9076060742.490
[0,5,18]       		9419217501.763		-----          		NaN				9076060742.490
[0,5,19]       		11122538901.008		-----          		NaN				9076060742.490
[0,5,20]       		10145790640.544		-----          		NaN				9076060742.490
[0,5,21]       		9504371005.680		-----          		NaN				9076060742.490
[0,5,22]       		10081978815.424		-----          		NaN				9076060742.490
[0,5,23]       		11210476373.847		-----          		NaN				9076060742.490
[0,5,24]       		10764415138.976		-----          		NaN				9076060742.490
[0,6,7]        		11448876835.140		-----          		NaN				9076060742.490
[0,6,8]        		10187717062.397		-----          		NaN				9076060742.490
[0,6,9]        		12350761080.776		-----          		NaN				9076060742.490
[0,6,10]       		11651256073.197		-----          		NaN				9076060742.490
[0,6,11]       		11440283925.588		-----          		NaN				9076060742.490
[0,6,12]       		12067317721.431		-----          		NaN				9076060742.490
[0,6,13]       		12243135284.136		-----          		NaN				9076060742.490
[0,6,14]       		11705182724.707		-----          		NaN				9076060742.490
[0,6,15]       		12320984690.388		-----          		NaN				9076060742.490
[0,6,16]       		9938549422.403		-----          		NaN				9076060742.490
[0,6,17]       		9850550612.906		-----          		NaN				9076060742.490
[0,6,18]       		11508696956.673		-----          		NaN				9076060742.490
[0,6,19]       		9952300420.861		-----          		NaN				9076060742.490
[0,6,20]       		11388993658.633		-----          		NaN				9076060742.490
[0,6,21]       		11443117520.159		-----          		NaN				9076060742.490
[0,6,22]       		11777988177.492		-----          		NaN				9076060742.490
[0,6,23]       		12233840341.546		-----          		NaN				9076060742.490
