Hubs		Lower bound		Best objective function
[0,1,2,3,4]		95227.58671807853		99740.05790043353
[0,1,2,3,5]		92434.33418828389		97383.85134957754
[0,1,2,3,6]		97434.9632032678		97383.85134957754
[0,1,2,3,7]		93612.69229205909		97383.85134957754
[0,1,2,3,8]		92652.68125279601		97367.37277112174
[0,1,2,3,9]		90643.06029045462		95288.50340816648
[0,1,2,3,10]		91580.0108063173		95288.50340816648
[0,1,2,3,11]		93781.70770992739		95288.50340816648
[0,1,2,3,12]		92465.82165109848		95288.50340816648
[0,1,2,3,13]		94777.65915863814		95288.50340816648
[0,1,2,3,14]		96743.76617720672		95288.50340816648
[0,1,2,3,15]		97686.77512648057		95288.50340816648
[0,1,2,3,16]		92681.19090759303		95288.50340816648
[0,1,2,3,17]		93612.69229205907		95288.50340816648
[0,1,2,3,18]		91422.7943697765		95288.50340816648
[0,1,2,3,19]		89596.87950745982		94294.01896081987
[0,1,2,4,5]		94701.64497994201		94294.01896081987
[0,1,2,4,6]		100555.56054544156		94294.01896081987
[0,1,2,4,7]		94650.55422764499		94294.01896081987
[0,1,2,4,8]		95090.7931985929		94294.01896081987
[0,1,2,4,9]		93019.25351938464		94294.01896081987
[0,1,2,4,10]		93915.56117692344		94294.01896081987
[0,1,2,4,11]		92751.33161578953		94294.01896081987
[0,1,2,4,12]		92242.1576329514		94294.01896081987
[0,1,2,4,13]		96027.08650593		94294.01896081987
[0,1,2,4,14]		100206.80305158786		94294.01896081987
[0,1,2,4,15]		100515.67005986528		94294.01896081987
[0,1,2,4,16]		92525.57014468095		94294.01896081987
[0,1,2,4,17]		94650.55422764499		94294.01896081987
[0,1,2,4,18]		90882.06328522984		94294.01896081987
[0,1,2,4,19]		91792.62837787691		94294.01896081987
[0,1,2,5,6]		97381.7390503512		94294.01896081987
[0,1,2,5,7]		89930.41960776603		94294.01896081987
[0,1,2,5,8]		95927.03314280466		94294.01896081987
[0,1,2,5,9]		95191.74206394222		94294.01896081987
