Hubs			Lower bound		Current_obj_fun		Best_obj_fun
[0,1,2,3,4]		95227.587		99740.058		99740.058
[0,1,2,3,5]		92434.334		97383.851		97383.851
[0,1,2,3,6]		97434.963		NaN				97383.851
[0,1,2,3,8]		92652.681		97367.373		97367.373
[0,1,2,3,9]		90643.060		95288.503		95288.503
[0,1,2,3,14]		96743.766		NaN				95288.503
[0,1,2,3,15]		97686.775		NaN				95288.503
[0,1,2,3,19]		89596.880		94294.019		94294.019
[0,1,2,4,5]		94701.645		NaN				94294.019
[0,1,2,4,6]		100555.561		NaN				94294.019
[0,1,2,4,7]		94650.554		NaN				94294.019
[0,1,2,4,8]		95090.793		NaN				94294.019
[0,1,2,4,13]		96027.087		NaN				94294.019
[0,1,2,4,14]		100206.803		NaN				94294.019
[0,1,2,4,15]		100515.670		NaN				94294.019
[0,1,2,4,17]		94650.554		NaN				94294.019
[0,1,2,5,6]		97381.739		NaN				94294.019
[0,1,2,5,8]		95927.033		NaN				94294.019
[0,1,2,5,9]		95191.742		NaN				94294.019
[0,1,2,5,10]		94801.431		NaN				94294.019
[0,1,2,5,11]		89141.361		93892.009		93892.009
[0,1,2,5,14]		96663.090		NaN				93892.009
[0,1,2,5,15]		97629.095		NaN				93892.009
[0,1,2,5,18]		88450.117		93228.362		93228.362
[0,1,2,5,19]		94717.039		NaN				93228.362
[0,1,2,6,7]		95742.627		NaN				93228.362
[0,1,2,6,8]		97906.972		NaN				93228.362
[0,1,2,6,9]		95680.077		NaN				93228.362
[0,1,2,6,10]		96753.136		NaN				93228.362
[0,1,2,6,11]		94340.003		NaN				93228.362
[0,1,2,6,12]		94762.068		NaN				93228.362
[0,1,2,6,13]		97352.012		NaN				93228.362
[0,1,2,6,14]		103012.290		NaN				93228.362
[0,1,2,6,15]		103393.499		NaN				93228.362
[0,1,2,6,16]		95402.384		NaN				93228.362
[0,1,2,6,17]		95742.627		NaN				93228.362
[0,1,2,6,18]		93457.065		NaN				93228.362
[0,1,2,6,19]		94375.508		NaN				93228.362
[0,1,2,7,9]		88243.311		92657.808		92657.808
[0,1,2,7,13]		95289.003		NaN				92657.808
[0,1,2,7,14]		95110.353		NaN				92657.808
[0,1,2,7,15]		95804.966		NaN				92657.808
[0,1,2,7,17]		96560.875		NaN				92657.808
[0,1,2,7,19]		86991.309		91438.693		91438.693
[0,1,2,8,9]		96290.746		NaN				91438.693
[0,1,2,8,10]		95876.596		NaN				91438.693
[0,1,2,8,13]		91965.609		NaN				91438.693
[0,1,2,8,14]		97098.120		NaN				91438.693
[0,1,2,8,15]		98092.878		NaN				91438.693
[0,1,2,8,16]		91707.448		NaN				91438.693
[0,1,2,8,19]		94505.584		NaN				91438.693
[0,1,2,9,10]		94642.739		NaN				91438.693
[0,1,2,9,14]		94999.833		NaN				91438.693
[0,1,2,9,15]		95931.254		NaN				91438.693
[0,1,2,9,19]		94346.982		NaN				91438.693
[0,1,2,10,14]		95975.850		NaN				91438.693
[0,1,2,10,15]		96942.592		NaN				91438.693
[0,1,2,10,16]		92059.177		NaN				91438.693
[0,1,2,10,19]		94004.445		NaN				91438.693
[0,1,2,11,13]		93739.616		NaN				91438.693
[0,1,2,11,14]		93835.892		NaN				91438.693
[0,1,2,11,15]		94609.269		NaN				91438.693
[0,1,2,11,17]		92210.260		NaN				91438.693
[0,1,2,11,19]		86296.157		90789.724		90789.724
[0,1,2,12,13]		91819.690		NaN				90789.724
[0,1,2,12,14]		94116.221		NaN				90789.724
[0,1,2,12,15]		94976.461		NaN				90789.724
[0,1,2,12,16]		91500.454		NaN				90789.724
[0,1,2,12,18]		94180.453		NaN				90789.724
[0,1,2,13,14]		96814.365		NaN				90789.724
[0,1,2,13,15]		97423.607		NaN				90789.724
[0,1,2,13,16]		91143.261		NaN				90789.724
[0,1,2,13,17]		95289.003		NaN				90789.724
[0,1,2,13,18]		90834.382		NaN				90789.724
[0,1,2,14,15]		102624.043		NaN				90789.724
[0,1,2,14,16]		94541.518		NaN				90789.724
[0,1,2,14,17]		95110.353		NaN				90789.724
[0,1,2,14,18]		92694.021		NaN				90789.724
[0,1,2,14,19]		93696.587		NaN				90789.724
[0,1,2,15,16]		95612.012		NaN				90789.724
[0,1,2,15,17]		95804.966		NaN				90789.724
[0,1,2,15,18]		93698.810		NaN				90789.724
[0,1,2,15,19]		94649.909		NaN				90789.724
[0,1,2,18,19]		85853.979		90432.417		90432.417
[0,1,3,4,5]		91015.414		NaN				90432.417
[0,1,3,4,6]		97196.886		NaN				90432.417
[0,1,3,4,7]		94481.234		NaN				90432.417
[0,1,3,4,8]		92118.425		NaN				90432.417
[0,1,3,4,10]		91053.200		NaN				90432.417
[0,1,3,4,11]		94085.343		NaN				90432.417
[0,1,3,4,12]		92055.575		NaN				90432.417
[0,1,3,4,13]		95517.802		NaN				90432.417
[0,1,3,4,14]		96942.941		NaN				90432.417
[0,1,3,4,15]		96450.936		NaN				90432.417
[0,1,3,4,16]		92278.486		NaN				90432.417
[0,1,3,4,17]		94481.234		NaN				90432.417
[0,1,3,4,18]		91044.422		NaN				90432.417
[0,1,3,5,6]		93465.509		NaN				90432.417
[0,1,3,5,8]		91830.312		NaN				90432.417
[0,1,3,5,9]		90990.158		NaN				90432.417
[0,1,3,5,10]		90928.885		NaN				90432.417
[0,1,3,5,13]		90851.804		NaN				90432.417
[0,1,3,5,14]		92786.963		NaN				90432.417
[0,1,3,5,15]		93288.281		NaN				90432.417
[0,1,3,5,19]		90638.354		NaN				90432.417
[0,1,3,6,7]		95138.132		NaN				90432.417
[0,1,3,6,8]		94239.111		NaN				90432.417
[0,1,3,6,9]		92049.493		NaN				90432.417
[0,1,3,6,10]		93052.149		NaN				90432.417
[0,1,3,6,11]		95511.022		NaN				90432.417
[0,1,3,6,12]		94103.701		NaN				90432.417
[0,1,3,6,13]		96645.337		NaN				90432.417
[0,1,3,6,14]		99225.317		NaN				90432.417
[0,1,3,6,15]		98747.031		NaN				90432.417
[0,1,3,6,16]		94435.620		NaN				90432.417
[0,1,3,6,17]		95138.132		NaN				90432.417
[0,1,3,6,18]		93107.256		NaN				90432.417
[0,1,3,6,19]		90619.494		NaN				90432.417
[0,1,3,7,11]		93307.637		NaN				90432.417
[0,1,3,7,12]		90447.288		NaN				90432.417
[0,1,3,7,13]		94920.473		NaN				90432.417
[0,1,3,7,14]		94630.436		NaN				90432.417
[0,1,3,7,15]		94514.571		NaN				90432.417
[0,1,3,7,17]		96088.111		NaN				90432.417
[0,1,3,8,9]		92743.582		NaN				90432.417
[0,1,3,8,10]		92535.927		NaN				90432.417
[0,1,3,8,11]		90674.178		NaN				90432.417
[0,1,3,8,13]		91700.397		NaN				90432.417
[0,1,3,8,14]		93565.745		NaN				90432.417
[0,1,3,8,15]		93744.485		NaN				90432.417
[0,1,3,8,16]		90652.529		NaN				90432.417
[0,1,3,8,19]		90767.563		NaN				90432.417
[0,1,3,9,10]		91176.525		NaN				90432.417
[0,1,3,9,14]		91487.439		NaN				90432.417
[0,1,3,9,15]		91697.913		NaN				90432.417
[0,1,3,9,19]		90649.314		NaN				90432.417
[0,1,3,10,13]		90510.840		NaN				90432.417
[0,1,3,10,14]		92425.185		NaN				90432.417
[0,1,3,10,15]		92554.928		NaN				90432.417
[0,1,3,10,16]		90674.164		NaN				90432.417
[0,1,3,11,12]		92437.558		NaN				90432.417
[0,1,3,11,13]		95018.268		NaN				90432.417
[0,1,3,11,14]		95126.426		NaN				90432.417
[0,1,3,11,15]		95027.290		NaN				90432.417
[0,1,3,11,16]		91658.428		NaN				90432.417
[0,1,3,11,17]		93307.637		NaN				90432.417
[0,1,3,11,18]		91626.248		NaN				90432.417
[0,1,3,12,13]		92280.064		NaN				90432.417
[0,1,3,12,14]		93553.862		NaN				90432.417
[0,1,3,12,15]		93642.364		NaN				90432.417
[0,1,3,12,16]		91971.173		NaN				90432.417
[0,1,3,12,17]		90447.288		NaN				90432.417
[0,1,3,12,18]		93986.779		NaN				90432.417
[0,1,3,13,14]		96170.547		NaN				90432.417
[0,1,3,13,15]		96037.644		NaN				90432.417
[0,1,3,13,16]		92002.813		NaN				90432.417
[0,1,3,13,17]		94920.473		NaN				90432.417
[0,1,3,13,18]		91458.952		NaN				90432.417
[0,1,3,14,15]		98114.411		NaN				90432.417
[0,1,3,14,16]		93783.210		NaN				90432.417
[0,1,3,14,17]		94630.436		NaN				90432.417
[0,1,3,14,18]		92440.220		NaN				90432.417
[0,1,3,15,16]		93894.992		NaN				90432.417
[0,1,3,15,17]		94514.571		NaN				90432.417
[0,1,3,15,18]		92673.972		NaN				90432.417
[0,1,3,15,19]		90432.535		NaN				90432.417
[0,1,3,16,18]		91066.390		NaN				90432.417
[0,1,3,18,19]		85155.975		89800.240		89800.240
[0,1,4,5,6]		104739.590		NaN				89800.240
[0,1,4,5,7]		91294.073		NaN				89800.240
[0,1,4,5,8]		102936.173		NaN				89800.240
[0,1,4,5,9]		102131.628		NaN				89800.240
[0,1,4,5,10]		101294.418		NaN				89800.240
[0,1,4,5,12]		93087.479		NaN				89800.240
[0,1,4,5,13]		94448.964		NaN				89800.240
[0,1,4,5,14]		104229.314		NaN				89800.240
[0,1,4,5,15]		103529.933		NaN				89800.240
[0,1,4,5,16]		93901.067		NaN				89800.240
[0,1,4,5,17]		91294.073		NaN				89800.240
[0,1,4,5,18]		91621.190		NaN				89800.240
[0,1,4,5,19]		101600.471		NaN				89800.240
[0,1,4,6,7]		102944.577		NaN				89800.240
[0,1,4,6,8]		115611.576		NaN				89800.240
[0,1,4,6,9]		110038.427		NaN				89800.240
[0,1,4,6,10]		107645.262		NaN				89800.240
[0,1,4,6,11]		98346.867		NaN				89800.240
[0,1,4,6,12]		106389.947		NaN				89800.240
[0,1,4,6,13]		107567.141		NaN				89800.240
[0,1,4,6,14]		127258.677		NaN				89800.240
[0,1,4,6,15]		122790.964		NaN				89800.240
[0,1,4,6,16]		104044.830		NaN				89800.240
[0,1,4,6,17]		102944.577		NaN				89800.240
[0,1,4,6,18]		103926.155		NaN				89800.240
[0,1,4,6,19]		103640.609		NaN				89800.240
[0,1,4,7,8]		94717.987		NaN				89800.240
[0,1,4,7,9]		91587.374		NaN				89800.240
[0,1,4,7,10]		92354.772		NaN				89800.240
[0,1,4,7,11]		96400.861		NaN				89800.240
[0,1,4,7,12]		95137.478		NaN				89800.240
[0,1,4,7,13]		102353.598		NaN				89800.240
[0,1,4,7,14]		102386.932		NaN				89800.240
[0,1,4,7,15]		101876.497		NaN				89800.240
[0,1,4,7,16]		93753.663		NaN				89800.240
[0,1,4,7,17]		103677.738		NaN				89800.240
[0,1,4,7,18]		93730.292		NaN				89800.240
[0,1,4,8,9]		110412.811		NaN				89800.240
[0,1,4,8,10]		106809.180		NaN				89800.240
[0,1,4,8,11]		92182.881		NaN				89800.240
[0,1,4,8,12]		98865.631		NaN				89800.240
[0,1,4,8,13]		98937.993		NaN				89800.240
[0,1,4,8,14]		115171.084		NaN				89800.240
[0,1,4,8,15]		111772.248		NaN				89800.240
[0,1,4,8,16]		98920.220		NaN				89800.240
[0,1,4,8,17]		94717.987		NaN				89800.240
[0,1,4,8,18]		97022.960		NaN				89800.240
[0,1,4,8,19]		103438.468		NaN				89800.240
[0,1,4,9,10]		105159.640		NaN				89800.240
[0,1,4,9,12]		95251.348		NaN				89800.240
[0,1,4,9,13]		95504.851		NaN				89800.240
[0,1,4,9,14]		109700.886		NaN				89800.240
[0,1,4,9,15]		107118.663		NaN				89800.240
[0,1,4,9,16]		96163.992		NaN				89800.240
[0,1,4,9,17]		91587.374		NaN				89800.240
