Hubs		Lower bound		Best objective function
[0,1,2,3,4]		99241.35923768031		99740.05790043353
[0,1,2,3,5]		96557.36377546783		97383.85134957754
[0,1,2,3,6]		101566.14520797376		97383.85134957754
[0,1,2,3,7]		97701.54464844015		97383.85134957754
[0,1,2,3,8]		96621.53570889067		97367.37277112174
[0,1,2,3,9]		94498.08544008364		95288.50340816648
[0,1,2,3,10]		95561.93399211044		95288.50340816648
[0,1,2,3,11]		97755.51396974448		95288.50340816648
[0,1,2,3,12]		96162.73130815705		95288.50340816648
[0,1,2,3,13]		98858.91818591599		95288.50340816648
[0,1,2,3,14]		100883.30964226736		95288.50340816648
[0,1,2,3,15]		101952.94601825197		95288.50340816648
[0,1,2,3,16]		96550.59797595956		95288.50340816648
[0,1,2,3,17]		97701.54464844012		95288.50340816648
[0,1,2,3,18]		95150.49698740407		95288.50340816648
[0,1,2,3,19]		93477.2299370355		94294.01896081987
[0,1,2,4,5]		98454.29303374123		94294.01896081987
[0,1,2,4,6]		104415.956114205		94294.01896081987
[0,1,2,4,7]		98614.12514392327		94294.01896081987
[0,1,2,4,8]		98636.81917025372		94294.01896081987
[0,1,2,4,9]		96525.31815035047		94294.01896081987
[0,1,2,4,10]		97546.6129920029		94294.01896081987
[0,1,2,4,11]		96554.29841758331		94294.01896081987
[0,1,2,4,12]		95703.77177602207		94294.01896081987
[0,1,2,4,13]		100142.057955347		94294.01896081987
[0,1,2,4,14]		104063.58859605153		94294.01896081987
[0,1,2,4,15]		104528.68885658438		94294.01896081987
[0,1,2,4,16]		95856.3000237592		94294.01896081987
[0,1,2,4,17]		98614.12514392324		94294.01896081987
[0,1,2,4,18]		94471.67905286202		94294.01896081987
[0,1,2,4,19]		95261.10331849864		94294.01896081987
[0,1,2,5,6]		101421.26937649034		94294.01896081987
[0,1,2,5,7]		93748.3329877584		94294.01896081987
[0,1,2,5,8]		99924.02230567428		94294.01896081987
[0,1,2,5,9]		99205.65890473574		94294.01896081987
[0,1,2,5,10]		98883.22672996216		94294.01896081987
[0,1,2,5,11]		92987.08468093352		93892.00895280625
[0,1,2,5,12]		93404.76639885126		93892.00895280625
[0,1,2,5,13]		95424.38368536178		93892.00895280625
[0,1,2,5,14]		100658.82653226976		93892.00895280625
[0,1,2,5,15]		101869.83104401817		93892.00895280625
[0,1,2,5,16]		94998.26413447317		93892.00895280625
[0,1,2,5,17]		93748.3329877584		93892.00895280625
[0,1,2,5,18]		92169.0956277975		93228.3619853413
[0,1,2,5,19]		98708.92985692693		93228.3619853413
[0,1,2,6,7]		99810.84106641375		93228.3619853413
[0,1,2,6,8]		101809.90193801132		93228.3619853413
[0,1,2,6,9]		99414.91140057307		93228.3619853413
[0,1,2,6,10]		100692.41551459386		93228.3619853413
[0,1,2,6,11]		98196.06900331752		93228.3619853413
[0,1,2,6,12]		98423.53085876253		93228.3619853413
[0,1,2,6,13]		101481.62296102646		93228.3619853413
[0,1,2,6,14]		107141.32949475825		93228.3619853413
[0,1,2,6,15]		107647.5893821237		93228.3619853413
[0,1,2,6,16]		98910.18989771797		93228.3619853413
[0,1,2,6,17]		99810.84106641372		93228.3619853413
[0,1,2,6,18]		97183.56379315135		93228.3619853413
[0,1,2,6,19]		98067.80854714214		93228.3619853413
[0,1,2,7,8]		93981.05934750439		93228.3619853413
[0,1,2,7,9]		91842.35517377227		92657.80768177807
[0,1,2,7,10]		92532.72893572263		92657.80768177807
[0,1,2,7,11]		96074.84552455944		92657.80768177807
[0,1,2,7,12]		93284.99626402592		92657.80768177807
[0,1,2,7,13]		99265.84807874716		92657.80768177807
[0,1,2,7,14]		99183.51819111774		92657.80768177807
[0,1,2,7,15]		99887.17357011803		92657.80768177807
[0,1,2,7,16]		92840.02707907		92657.80768177807
[0,1,2,7,17]		100533.95849016606		92657.80768177807
[0,1,2,7,18]		92355.63685651182		92657.80768177807
[0,1,2,7,19]		90604.88671271832		91438.69287277656
[0,1,2,8,9]		100196.6493378097		91438.69287277656
[0,1,2,8,10]		99922.04572330698		91438.69287277656
[0,1,2,8,11]		93087.41332615653		91438.69287277656
[0,1,2,8,12]		93776.25775637239		91438.69287277656
[0,1,2,8,13]		95788.24575951965		91438.69287277656
[0,1,2,8,14]		100896.13924550186		91438.69287277656
[0,1,2,8,15]		102151.2038053469		91438.69287277656
[0,1,2,8,16]		95173.36013645481		91438.69287277656
[0,1,2,8,17]		93981.05934750439		91438.69287277656
[0,1,2,8,18]		92455.75385655143		91438.69287277656
[0,1,2,8,19]		98358.91414568046		91438.69287277656
[0,1,2,9,10]		98627.07767429741		91438.69287277656
[0,1,2,9,11]		90928.23607039377		91438.69287277656
[0,1,2,9,12]		91776.71251713691		91438.69287277656
[0,1,2,9,13]		93472.70912523955		91438.69287277656
[0,1,2,9,14]		98754.92883205139		91438.69287277656
[0,1,2,9,15]		99924.27489809868		91438.69287277656
[0,1,2,9,16]		93603.48921532385		91438.69287277656
[0,1,2,9,17]		91842.35517377224		91438.69287277656
[0,1,2,9,18]		90358.87625388007		91438.69287277656
[0,1,2,9,19]		98240.06860691626		91438.69287277656
[0,1,2,10,11]		92081.54567623226		91438.69287277656
[0,1,2,10,12]		93632.42190233321		91438.69287277656
[0,1,2,10,13]		94762.70229128047		91438.69287277656
[0,1,2,10,14]		99858.31694959055		91438.69287277656
[0,1,2,10,15]		101037.23457198357		91438.69287277656
[0,1,2,10,16]		95669.42249992932		91438.69287277656
[0,1,2,10,17]		92532.72893572263		91438.69287277656
[0,1,2,10,18]		92356.93985396708		91438.69287277656
[0,1,2,10,19]		97886.81604430906		91438.69287277656
[0,1,2,11,12]		94625.41148790516		91438.69287277656
[0,1,2,11,13]		97645.1483739723		91438.69287277656
[0,1,2,11,14]		97729.78674508251		91438.69287277656
[0,1,2,11,15]		98567.93635740227		91438.69287277656
[0,1,2,11,16]		93671.90070250818		91438.69287277656
[0,1,2,11,17]		96074.84552455942		91438.69287277656
[0,1,2,11,18]		93938.2350449471		91438.69287277656
[0,1,2,11,19]		89877.75064385138		90789.72401028042
[0,1,2,12,13]		95452.26755091398		90789.72401028042
[0,1,2,12,14]		97838.49848049217		90789.72401028042
[0,1,2,12,15]		98726.98413997314		90789.72401028042
[0,1,2,12,16]		94935.6696021148		90789.72401028042
[0,1,2,12,17]		93284.99626402592		90789.72401028042
[0,1,2,12,18]		97911.89477469388		90789.72401028042
[0,1,2,12,19]		90766.94478026654		90789.72401028042
[0,1,2,13,14]		101033.35879725359		90789.72401028042
[0,1,2,13,15]		101597.63335926697		90789.72401028042
[0,1,2,13,16]		94773.34025491733		90789.72401028042
[0,1,2,13,17]		99265.84807874713		90789.72401028042
[0,1,2,13,18]		94623.99857545181		90789.72401028042
[0,1,2,13,19]		92104.62730849988		90789.72401028042
[0,1,2,14,15]		106843.64208440926		90789.72401028042
[0,1,2,14,16]		97953.87117979917		90789.72401028042
[0,1,2,14,17]		99183.51819111772		90789.72401028042
[0,1,2,14,18]		96379.0836408599		90789.72401028042
[0,1,2,14,19]		97406.05950396479		90789.72401028042
[0,1,2,15,16]		99276.14105079611		90789.72401028042
[0,1,2,15,17]		99887.17357011803		90789.72401028042
[0,1,2,15,18]		97539.12374323033		90789.72401028042
[0,1,2,15,19]		98613.38784035417		90789.72401028042
[0,1,2,16,17]		92840.02707906997		90789.72401028042
[0,1,2,16,18]		93990.27605202937		90789.72401028042
[0,1,2,16,19]		92779.14970577508		90789.72401028042
[0,1,2,17,18]		92355.63685651179		90789.72401028042
[0,1,2,17,19]		90604.88671271832		90789.72401028042
[0,1,2,18,19]		89386.66016252499		90432.41685369214
[0,1,3,4,5]		94890.3749703217		90432.41685369214
[0,1,3,4,6]		101244.49009106575		90432.41685369214
[0,1,3,4,7]		98571.86173834115		90432.41685369214
[0,1,3,4,8]		95798.333060604		90432.41685369214
[0,1,3,4,9]		93676.4843731744		90432.41685369214
[0,1,3,4,10]		94802.14224652879		90432.41685369214
[0,1,3,4,11]		98124.64964300567		90432.41685369214
[0,1,3,4,12]		95683.41569797642		90432.41685369214
[0,1,3,4,13]		99724.26582035565		90432.41685369214
[0,1,3,4,14]		100990.38894522112		90432.41685369214
[0,1,3,4,15]		100577.52346724604		90432.41685369214
[0,1,3,4,16]		95949.98911036477		90432.41685369214
[0,1,3,4,17]		98571.86173834118		90432.41685369214
[0,1,3,4,18]		94772.40260404898		90432.41685369214
[0,1,3,4,19]		92173.54254122009		90432.41685369214
[0,1,3,5,6]		97482.3119547793		90432.41685369214
[0,1,3,5,7]		93244.61359731072		90432.41685369214
[0,1,3,5,8]		95818.25506538681		90432.41685369214
[0,1,3,5,9]		94900.60849727485		90432.41685369214
[0,1,3,5,10]		94891.19605816959		90432.41685369214
[0,1,3,5,11]		93747.17436699585		90432.41685369214
[0,1,3,5,12]		92210.37528928212		90432.41685369214
[0,1,3,5,13]		94797.47337748988		90432.41685369214
[0,1,3,5,14]		96762.19534782191		90432.41685369214
[0,1,3,5,15]		97411.88978828407		90432.41685369214
[0,1,3,5,16]		93679.07951141101		90432.41685369214
[0,1,3,5,17]		93244.61359731072		90432.41685369214
[0,1,3,5,18]		91330.0138754661		90432.41685369214
[0,1,3,5,19]		94537.76823231863		90432.41685369214
[0,1,3,6,7]		99344.46500827179		90432.41685369214
[0,1,3,6,8]		98140.43547949776		90432.41685369214
[0,1,3,6,9]		95773.202452229		90432.41685369214
[0,1,3,6,10]		96966.35510907846		90432.41685369214
[0,1,3,6,11]		99532.96743941396		90432.41685369214
[0,1,3,6,12]		97763.90338061424		90432.41685369214
[0,1,3,6,13]		100794.09199955633		90432.41685369214
[0,1,3,6,14]		103415.12537596015		90432.41685369214
[0,1,3,6,15]		102985.18695648637		90432.41685369214
[0,1,3,6,16]		98312.41339219747		90432.41685369214
[0,1,3,6,17]		99344.46500827179		90432.41685369214
[0,1,3,6,18]		96882.8841089968		90432.41685369214
[0,1,3,6,19]		94346.40134236898		90432.41685369214
[0,1,3,7,8]		94026.15468949544		90432.41685369214
[0,1,3,7,9]		91943.81499998033		90432.41685369214
[0,1,3,7,10]		92951.84590430837		90432.41685369214
[0,1,3,7,11]		97437.10119415357		90432.41685369214
[0,1,3,7,12]		94098.6134744445		90432.41685369214
[0,1,3,7,13]		99054.25565075		90432.41685369214
[0,1,3,7,14]		98808.05807192833		90432.41685369214
[0,1,3,7,15]		98705.01748523659		90432.41685369214
[0,1,3,7,16]		93988.09899469762		90432.41685369214
[0,1,3,7,17]		100262.34833123986		90432.41685369214
[0,1,3,7,18]		93372.71546789948		90432.41685369214
[0,1,3,7,19]		90474.85337346533		90432.41685369214
[0,1,3,8,9]		96662.2440671199		90432.41685369214
[0,1,3,8,10]		96499.46673068152		90432.41685369214
[0,1,3,8,11]		94441.53939951664		90432.41685369214
[0,1,3,8,12]		93136.70759059448		90432.41685369214
[0,1,3,8,13]		95533.46524564829		90432.41685369214
[0,1,3,8,14]		97367.75692377912		90432.41685369214
[0,1,3,8,15]		97726.56441064358		90432.41685369214
[0,1,3,8,16]		94409.02110268628		90432.41685369214
[0,1,3,8,17]		94026.15468949544		90432.41685369214
[0,1,3,8,18]		92171.51304801129		90432.41685369214
[0,1,3,8,19]		94646.0585700997		90432.41685369214
[0,1,3,9,10]		95055.60756853744		90432.41685369214
[0,1,3,9,11]		92224.08732516434		90432.41685369214
[0,1,3,9,12]		91018.42324905339		90432.41685369214
[0,1,3,9,13]		93281.57557762295		90432.41685369214
[0,1,3,9,14]		95235.87027128556		90432.41685369214
[0,1,3,9,15]		95607.21954832505		90432.41685369214
[0,1,3,9,16]		92720.41107924968		90432.41685369214
[0,1,3,9,17]		91943.81499998033		90432.41685369214
[0,1,3,9,18]		89955.89634303431		90432.41685369214
[0,1,3,9,19]		94507.75952822238		90432.41685369214
[0,1,3,10,11]		93343.99054190207		90432.41685369214
[0,1,3,10,12]		92623.68137070377		90432.41685369214
[0,1,3,10,13]		94358.5973502813		90432.41685369214
[0,1,3,10,14]		96289.00447317057		90432.41685369214
[0,1,3,10,15]		96549.62873638354		90432.41685369214
[0,1,3,10,16]		94535.89310030923		90432.41685369214
[0,1,3,10,17]		92951.8459043084		90432.41685369214
[0,1,3,10,18]		91703.50867957537		90432.41685369214
[0,1,3,10,19]		94079.43058186385		90432.41685369214
[0,1,3,11,12]		96123.27187655962		90432.41685369214
[0,1,3,11,13]		99083.08311284063		90432.41685369214
[0,1,3,11,14]		99153.49005094708		90432.41685369214
[0,1,3,11,15]		99117.16087314098		90432.41685369214
[0,1,3,11,16]		95504.52656712518		90432.41685369214
[0,1,3,11,17]		97437.10119415358		90432.41685369214
[0,1,3,11,18]		95522.88616671952		90432.41685369214
[0,1,3,11,19]		90705.82647585982		90432.41685369214
[0,1,3,12,13]		95963.59587700813		90432.41685369214
[0,1,3,12,14]		97243.2458614265		90432.41685369214
[0,1,3,12,15]		97364.88246114443		90432.41685369214
[0,1,3,12,16]		95664.9451678012		90432.41685369214
[0,1,3,12,17]		94098.6134744445		90432.41685369214
[0,1,3,12,18]		97755.12227228141		90432.41685369214
[0,1,3,12,19]		89748.60447188209		90432.41685369214
[0,1,3,13,14]		100373.03121157076		90432.41685369214
[0,1,3,13,15]		100200.08542679124		90432.41685369214
[0,1,3,13,16]		95852.2740745704		90432.41685369214
[0,1,3,13,17]		99054.25565075		90432.41685369214
[0,1,3,13,18]		95338.87415513134		90432.41685369214
[0,1,3,13,19]		91767.04342069323		90432.41685369214
[0,1,3,14,15]		102325.23386265291		90432.41685369214
[0,1,3,14,16]		97573.73217931528		90432.41685369214
[0,1,3,14,17]		98808.05807192835		90432.41685369214
[0,1,3,14,18]		96136.9731637919		90432.41685369214
[0,1,3,14,19]		93755.83793397041		90432.41685369214
